player.id,player.name,minutes,position.id,position.name,League,Top.League
10534,Callum McGregor,269.7371,11,Left Defensive Midfield,Scottish Premiership,NA
9195,Robert Andrich,345.4114667,9,Right Defensive Midfield,Bundesliga,NA
5574,Toni Kroos,510.87755,11,Left Defensive Midfield,LaLiga,NA
3620,Scott McTominay,296.9649667,9,Right Defensive Midfield,Premier League,NA
10287,İlkay Gündoğan,407.9909,19,Center Attacking Midfield,LaLiga,NA
3097,Pascal Groß,48.66333333,9,Right Defensive Midfield,Premier League,NA
31067,Billy Gilmour,192.7525167,10,Center Defensive Midfield,Premier League,NA
9478,Kenneth McLean,61.02173333,15,Left Center Midfield,Championship,NA
3493,Emre Can,115.2169,11,Left Defensive Midfield,Bundesliga,NA
7162,Ádám Nagy,175.5683833,9,Right Defensive Midfield,Serie B,NA
21209,Dominik Szoboszlai,297.5092333,20,Left Attacking Midfield,Premier League,NA
19316,Roland Sallai,291.1735833,18,Right Attacking Midfield,Bundesliga,NA
3500,Granit Xhaka,518.9394833,11,Left Defensive Midfield,Bundesliga,NA
6983,Remo Freuler,475.9466167,9,Right Defensive Midfield,Serie A,NA
42822,András Schäfer,297.5092333,11,Left Defensive Midfield,Bundesliga,NA
45190,Dan Ndoye,422.6279167,18,Right Attacking Midfield,Serie A,NA
30401,Ruben Vargas,318.6693,20,Left Attacking Midfield,Bundesliga,NA
16502,László Kleinheisler,60.36848333,9,Right Defensive Midfield,SuperSport HNL,NA
264277,Martin Ádám,64.40041667,18,Right Attacking Midfield,K League 1,NA
50436,Fabian Rieder,235.3692667,18,Right Attacking Midfield,Ligue 1,NA
11457,Vincent Sierro,58.58691667,9,Right Defensive Midfield,Ligue 1,NA
5463,Luka Modrić,248.2355833,13,Right Center Midfield,LaLiga,NA
30486,Pedro González López,196.8907,19,Center Attacking Midfield,LaLiga,NA
6655,Fabián Ruiz Peña,579.2927333,11,Left Defensive Midfield,Ligue 1,NA
5456,Mateo Kovačić,238.4777667,15,Left Center Midfield,Premier League,NA
6765,Rodrigo Hernández Cascante,560.4211667,9,Right Defensive Midfield,Premier League,NA
5469,Marcelo Brozović,244.7322833,10,Center Defensive Midfield,Saudi Pro League,NA
16532,Daniel Olmo Carvajal,461.6718,19,Center Attacking Midfield,Bundesliga,NA
3042,Mikel Merino Zazón,216.2870167,19,Center Attacking Midfield,LaLiga,NA
39490,Luka Sučić,153.8450667,13,Right Center Midfield,Admiral Bundesliga,NA
24921,Martín Zubimendi Ibáñez,157.37175,11,Left Defensive Midfield,LaLiga,NA
32030,Nedim Bajrami,259.68065,19,Center Attacking Midfield,Serie A,NA
24438,Ylber Ramadani,279.9411833,9,Right Defensive Midfield,Serie A,NA
57303,Kristjan Asllani,293.8530167,11,Left Defensive Midfield,Serie A,NA
8181,Nicolò Barella,359.2998833,15,Left Center Midfield,Serie A,NA
7024,Jorge Luiz Frello Filho,227.3543167,10,Center Defensive Midfield,Premier League,NA
30926,Davide Frattesi,205.7232,13,Right Center Midfield,Serie A,NA
6993,Bryan Cristante,147.21345,15,Left Center Midfield,Serie A,NA
31089,Jan Mlakar,300.0546167,16,Left Midfield,Serie B,NA
3570,Pierre-Emile Højbjerg,376.7547167,11,Left Defensive Midfield,Premier League,NA
8621,Morten Hjulmand,250.5433167,9,Right Defensive Midfield,Liga Portugal,NA
3043,Christian Dannemann Eriksen,368.9096,19,Center Attacking Midfield,Premier League,NA
31968,Adam Gnezda Čerin,419.6762,9,Right Defensive Midfield,Greece Super League,NA
15896,Timi Elšnik,374.1858,11,Left Defensive Midfield,PrvaLiga,NA
16528,Petar Stojanović,326.7023833,12,Right Midfield,Serie A,NA
16510,Benjamin Verbič,92.97381667,16,Left Midfield,Greece Super League,NA
24109,Žan Celar,84.39708333,12,Right Midfield,Switzerland Super League,NA
11416,Jon Gorenc Stankovič,119.2731333,11,Left Defensive Midfield,Admiral Bundesliga,NA
7097,Christian Nørgaard,49.39448333,11,Left Defensive Midfield,Premier League,NA
5527,Thomas Delaney,99.03598333,11,Left Defensive Midfield,Belgian Pro League,NA
18015,Dušan Vlahović,188.5951833,18,Right Attacking Midfield,Serie A,NA
3664,Trent Alexander-Arnold,150.1685833,9,Right Defensive Midfield,Premier League,NA
3943,Declan Rice,744.27675,11,Left Defensive Midfield,Premier League,NA
5589,Sergej Milinković-Savić,137.39175,20,Left Attacking Midfield,Saudi Pro League,NA
30714,Jude Bellingham,719.31525,19,Center Attacking Midfield,LaLiga,NA
16489,Nemanja Gudelj,93.26336667,11,Left Defensive Midfield,LaLiga,NA
6687,Saša Lukić,215.2688,9,Right Defensive Midfield,Premier League,NA
30179,Ivan Ilić,214.4914333,10,Center Defensive Midfield,Serie A,NA
3831,Dušan Tadić,166.3662833,19,Center Attacking Midfield,Super Lig,NA
29399,Conor Gallagher,129.5627167,9,Right Defensive Midfield,Premier League,NA
99174,Kobbie Mainoo,389.65525,15,Left Center Midfield,Premier League,NA
6798,Stanislav Lobotka,427.96745,10,Center Defensive Midfield,Serie A,NA
3089,Kevin De Bruyne,386.25775,19,Center Attacking Midfield,Premier League,NA
8967,Ondrej Duda,336.641,15,Left Center Midfield,Serie A,NA
8950,Orel Mangala,145.42945,9,Right Defensive Midfield,Premier League,NA
10919,Juraj Kucka,379.4654333,13,Right Center Midfield,Nik� Liga,NA
48347,Amadou Onana,386.25775,11,Left Defensive Midfield,Premier League,NA
2954,Youri Tielemans,159.5146167,9,Right Defensive Midfield,Premier League,NA
24977,Christoph Baumgartner,312.22315,19,Center Attacking Midfield,Bundesliga,NA
39460,Nicolas Seiwald,390.9947333,9,Right Defensive Midfield,Bundesliga,NA
5487,Antoine Griezmann,417.4071333,19,Center Attacking Midfield,LaLiga,NA
11396,Florian Grillitsch,202.9586833,11,Left Defensive Midfield,Bundesliga,NA
3961,N'Golo Kanté,548.2520167,9,Right Defensive Midfield,Saudi Pro League,NA
3026,Adrien Rabiot,388.1598,11,Left Defensive Midfield,Serie A,NA
24778,Eduardo Camavinga,191.8294167,11,Left Defensive Midfield,LaLiga,NA
8784,Romano Schmid,162.0058167,9,Right Defensive Midfield,Bundesliga,NA
11990,Youssouf Fofana,61.86168333,13,Right Center Midfield,Ligue 1,NA
5204,Bruno Miguel Borges Fernandes,398.4759167,11,Left Defensive Midfield,Premier League,NA
34639,Vitor Machado Ferreira,367.54095,9,Right Defensive Midfield,Ligue 1,NA
28227,Pavel Šulc,79.9204,15,Left Center Midfield,1. Liga,NA
3193,Bernardo Mota Veiga de Carvalho e Silva,455.6344333,19,Center Attacking Midfield,Premier League,NA
4870,Tomáš Souček,297.6554333,10,Center Defensive Midfield,Premier League,NA
28034,Lukáš Provod,243.8081,13,Right Center Midfield,1. Liga,NA
27826,Ondřej Lingr,98.82456667,20,Left Attacking Midfield,Eredivisie,NA
7801,Antonín Barák,49.91983333,9,Right Defensive Midfield,Super Lig,NA
23454,Petr Ševčík,30.74923333,18,Right Attacking Midfield,1. Liga,NA
39624,Francisco Fernandes Conceição,213.8353,19,Center Attacking Midfield,Liga Portugal,NA
3533,Xherdan Shaqiri,81.74585,19,Center Attacking Midfield,Major League Soccer,NA
41115,Alejandro Baena Rodríguez,36.38345,19,Center Attacking Midfield,LaLiga,NA
25048,Giacomo Raspadori,90.4811,15,Left Center Midfield,Serie A,NA
15503,Jerdy Schouten,537.2794333,9,Right Defensive Midfield,Eredivisie,NA
21582,Tijjani Reijnders,530.66035,11,Left Defensive Midfield,Serie A,NA
39167,Xavi Simons,484.0050167,19,Center Attacking Midfield,Bundesliga,NA
10481,Aurélien Djani Tchouaméni,502.3875333,11,Left Defensive Midfield,LaLiga,NA
21633,Joey Veerman,233.40005,10,Center Defensive Midfield,Eredivisie,NA
3567,Georginio Wijnaldum,88.92845,15,Left Center Midfield,Saudi Pro League,NA
12293,Kaan Ayhan,378.0065333,11,Left Defensive Midfield,Super Lig,NA
12169,João Maria Lobo Alves Palhinha Gonçalves,316.9728833,11,Left Defensive Midfield,Premier League,NA
7039,Hakan Çalhanoğlu,375.8922833,9,Right Defensive Midfield,Serie A,NA
22212,Orkun Kökçü,239.234,19,Center Attacking Midfield,Liga Portugal,NA
9927,Rúben Diogo Da Silva Neves,147.3823167,11,Left Defensive Midfield,Saudi Pro League,NA
29989,Yusuf Yazıcı,69.61636667,19,Center Attacking Midfield,Ligue 1,NA
78241,İsmail Yüksek,161.5879833,11,Left Defensive Midfield,Super Lig,NA
116587,Arda Güler,360.8358333,19,Center Attacking Midfield,LaLiga,NA
143859,João Neves,84.00415,9,Right Defensive Midfield,Liga Portugal,NA
72512,Valentin Mihai Mihăilă,123.6130167,16,Left Midfield,Serie B,NA
10916,Nicolae Claudiu Stanciu,372.2501,15,Left Center Midfield,Saudi Pro League,NA
30913,Marius Mihai Marin,317.3718833,10,Center Defensive Midfield,Serie B,NA
16344,Răzvan Gabriel Marin,377.97965,13,Right Center Midfield,Serie A,NA
56905,Dennis Man,285.02925,12,Right Midfield,Serie B,NA
28565,Ianis Hagi,203.3661333,16,Left Midfield,LaLiga,NA
101821,Darius Dumitru Olaru,33.843,13,Right Center Midfield,Romania Superliga,NA
4286,Callum Styles,61.57236667,11,Left Defensive Midfield,Championship,NA
